ranking,name,highSchool,position,height,weight,stars,rating,college
236,Ryland Goede,Kennesaw Mountain (Acworth	 GA),TE,6-6, 240 ,4,0.9112,Georgia
237,Roschon Johnson,Port Neches-Groves (Port Neches	 TX),DUAL,6-1, 192 ,4,0.9111,Texas
238,Garrett Shrader,Charlotte Christian (Charlotte	 NC),DUAL,6-4.5, 215 ,4,0.9106,Mississippi State
239,Jude Wolfe,St. John Bosco (Bellflower	 CA),TE,6-5.5, 249 ,4,0.9106,USC
240,Stephon Wright,Cathedral (Los Angeles	 CA),SDE,6-3, 260 ,4,0.9105,Arizona State
241,Chez Mellusi,Naples (Naples	 FL),RB,5-11, 190 ,4,0.9105,Clemson
242,Deyavie Hammond,Lakeland (Lakeland	 FL),OG,6-3, 353 ,4,0.9104,Florida
243,Lloyd Summerall,Lakeland (Lakeland	 FL),WDE,6-5, 220 ,4,0.9100,Florida
244,Keilan Robinson,St. John's College HS (Washington	 DC),RB,5-9, 184 ,4,0.9094,Alabama
245,Marcus Stripling,Mayde Creek (Houston	 TX),SDE,6-2.5, 260 ,4,0.9093,Oklahoma
246,Patrick Herbert,Sheldon (Eugene	 OR),TE,6-5, 225 ,4,0.9090,Oregon
247,Drake London,Moorpark (Moorpark	 CA),WR,6-4, 200 ,4,0.9087,USC
248,Salim Turner-Muhammad,Episcopal (Alexandria	 VA),CB,6-0, 170 ,4,0.9086,Stanford
249,Jashawn Sheffield,Frederica Academy (Saint Simons Island	 GA),ATH,6-1, 178 ,4,0.9086,Auburn
250,Isaiah Hookfin,Dulles (Sugar Land	 TX),OT,6-5, 270 ,4,0.9084,Texas
,,,,,,0,,uncommitted
251,Joshua Harris,Person (Roxboro	 NC),DT,6-2, 325 ,4,0.9081,N.C. State
252,Tristan Sinclair,San Ramon Valley (Danville	 CA),OLB,6-2, 202 ,4,0.9079,Stanford
253,Darren Jones,Cajon (San Bernardino	 CA),WR,6-8, 185 ,4,0.9076,Utah
254,DJ Dale,Clay-Chalkville (Pinson	 AL),DT,6-3, 323 ,4,0.9076,Alabama
255,Langston Anderson,Heritage (Midlothian	 TX),WR,6-2, 195 ,4,0.9072,Oklahoma State
256,Beau Robbins,Carmel (Carmel	 IN),WDE,6-4, 238 ,4,0.9070,Indiana
257,Luke McCaffrey,Valor Christian (Littleton	 CO),ATH,6-2, 183 ,4,0.9070,Nebraska
258,Jestin Jacobs,Northmont (Clayton	 OH),OLB,6-3, 205 ,4,0.9069,Iowa
259,Keyon Ware-Hudson,Mater Dei (Santa Ana	 CA),DT,6-2, 305 ,4,0.9065,Oregon
260,Devin Bush,Edna Karr (New Orleans	 LA),CB,6-0, 190 ,4,0.9063,Arkansas
