ranking,name,highSchool,position,height,weight,stars,rating,college
NA,Tahveon Nicholson,Robert E. Lee (Jacksonville	 FL),ATH,5-11, 170 ,2,0.7731,Florida Atlantic
NA,Savion Herring,Irvington (Irvington	 NJ),OT,6-6, 285 ,2,0.7731,Cincinnati
NA,Mekel Kentle,Joe T. Robinson (Little Rock	 AR),WR,5-7, 170 ,2,0.7731,uncommitted
NA,Darrellson Masaniai,Radford HS (Honolulu	 HI),OG,6-2, 305 ,2,0.7730,Navy
NA,Pierce Callister,Weber (Ogden	 UT),P,6-0, 165 ,2,0.7730,Utah State
NA,Jajuan Hudson,Camden (Camden	 NJ),S,5-11, 175 ,2,0.7730,Bowling Green
,,,,,,0,,uncommitted
NA,Christopher Oliver,Cathedral Prep (Erie	 PA),OG,6-4, 293 ,2,0.7730,Bowling Green
NA,Tanner McGee,Randleman (Randleman	 NC),DUAL,6-4, 200 ,2,0.7730,South Alabama
NA,Jordan Murry,Murrieta Valley (Murrieta	 CA),APB,5-10, 150 ,2,0.7730,Wyoming
NA,Dallas Gamble,Booneville (Booneville	 MS),ATH,6-1, 170 ,2,0.7730,South Alabama
NA,Brentt Cunningham,West Point (West Point	 MS),ILB,6-2, 200 ,2,0.7730,South Alabama
NA,Andrew Gleason,West Monroe (West Monroe	 LA),WDE,6-3, 230 ,2,0.7730,Louisiana
NA,Jacques Bristol,Booker (Sarasota	 FL),DT,6-1, 286 ,2,0.7730,Central Michigan
NA,Michael Mathison,Newton (Covington	 GA),WR,5-10, 175 ,2,0.7730,Akron
NA,Chase Hancock,Baker County Senior (Glen Saint Mary	 FL),TE,6-0, 245 ,2,0.7730,Georgia Southern
NA,Sam Jackson,Troy (Troy	 OH),S,6-0, 210 ,2,0.7730,Eastern Michigan
NA,Fabio Novia,Pebble Hills (El Paso	 TX),OT,6-4, 295 ,2,0.7730,UTEP
NA,Doug Sullivan,Saraland (Saraland	 AL),S,5-11, 205 ,2,0.7730,South Alabama
NA,Carson Williams,Scott Central (Forest	 MS),OG,6-4, 290 ,2,0.7730,Arkansas State
NA,Deiyantei Powell-Woods,Bluefield (Bluefield	 WV),OT,6-5, 285 ,2,0.7730,Central Michigan
NA,Drew Little,North Stanly (New London	 NC),LS,5-11, 230 ,2,0.7727,North Carolina
NA,Mitchell Harralson,Caldwell County (Princeton	 KY),LS,6-4, 180 ,2,0.7727,Western Kentucky
NA,Tyler Shaw,Catholic Central (Burlington	 WI),LS,6-2, 220 ,2,0.7727,Eastern Michigan
NA,Josh Foskey,Reedy (Frisco	 TX),PRO,6-1, 205 ,2,0.7702,uncommitted
NA,Hollis Mathis,Penn Hills (Pittsburgh	 PA),PRO,-, - ,2,0.7702,William & Mary
NA,De'von Hayward,Cy Falls (Houston	 TX),S,6-1, 170 ,2,0.7702,uncommitted
NA,Hayden Gobel,Banks (Banks	 OR),ILB,6-3, 208 ,2,0.7697,uncommitted
NA,Niko Hroncich,Pope John XXIII (Sparta	 NJ),PRO,6-2, 190 ,2,0.7697,uncommitted
NA,Kimani Quade,Churchill (Eugene	 OR),WR,5-9, 168 ,2,0.7697,Portland State
NA,Marshaun Tucker Jr.,Churchill (Eugene	 OR),WR,6-2, 160 ,2,0.7697,Portland State
NA,Parker Ray,Battle (Columbia	 MO),OG,6-4, 300 ,2,0.7697,Central Arkansas
NA,Nehemiah Dedmon,Clackamas (Clackamas	 OR),WR,5-11, 185 ,2,0.7697,uncommitted
NA,Jake Rock,Kettle Moraine (Wales	 WI),OT,6-6, 263 ,2,0.7697,North Dakota State
NA,Matthew Toriz,Los Osos (Rancho Cucamonga	 CA),WDE,6-5, 205 ,2,0.7697,uncommitted
NA,Darrell Page,Homestead (Cupertino	 CA),RB,5-10, 185 ,2,0.7697,uncommitted
NA,A.J. Gucciardo,Springfield  (Holland	 OH),PRO,6-1, 170 ,2,0.7697,uncommitted
NA,Sawyer Cleveland,Crescent Valley (Corvallis	 OR),PRO,6-5, 190 ,2,0.7697,uncommitted
NA,Aaron Smith,Archbishop Mitty (San Jose	 CA),RB,5-11, 205 ,2,0.7697,uncommitted
NA,R.J. McDaniel,Locust Grove (Locust Grove	 GA),DUAL,6-1, 197 ,2,0.7697,uncommitted
NA,Nicholas Peck,Colony (Ontario	 CA),OG,6-3, 295 ,2,0.7697,uncommitted
NA,Michael Churich,Junipero Serra (San Mateo	 CA),TE,6-6, 240 ,2,0.7697,UCLA
NA,Andrew Hem,Ronald E. McNair (Stockton	 CA),WR,5-9, 155 ,2,0.7697,uncommitted
NA,Kenneth Bothwell,Southside (Gadsden	 AL),RB,6-0, 180 ,2,0.7697,uncommitted
NA,Mikey Delgado,Oak Hills (Hesperia	 CA),WR,5-9, 160 ,2,0.7697,uncommitted
NA,Brandon Niksich,Todd Beamer (Federal Way	 WA),PRO,6-3, 180 ,2,0.7697,uncommitted
NA,Braedon Wissler,Bingham (South Jordan	 UT),RB,5-7, 170 ,2,0.7697,Utah
NA,Brandt Opheikens,Weber (Ogden	 UT),OLB,6-4, 205 ,2,0.7697,Weber State
NA,Kellen Kranc,Enumclaw Sr (Enumclaw	 WA),PRO,6-3, 180 ,2,0.7697,Eastern Washington
NA,Bill Benjamin,Auburn Mountainview (Auburn	 WA),CB,6-2, 180 ,2,0.7697,uncommitted
NA,Jaeger Hoffmann,Moorpark (Moorpark	 CA),ILB,6-3, 210 ,2,0.7697,Eastern Washington
NA,Avery Taggart,Eureka Sr. (Eureka	 MO),TE,6-4, 220 ,2,0.7697,Southern Illinois
NA,Nolan Grooms,The Taft School (Watertown	 CT),DUAL,6-2, 180 ,2,0.7697,Yale
NA,Marcus Turner,Needles (Needles	 CA),RB,5-11, 165 ,2,0.7697,uncommitted
NA,Decarleon Townsend,Bedford (Bedford	 OH),OLB,6-0, 195 ,2,0.7697,Air Force
NA,Khalif Spry,Peninsula (Gig Harbor	 WA),OC,6-3, 275 ,2,0.7697,uncommitted
NA,DeLaend Ford,Oliver M. Hazen (Renton	 WA),CB,6-1, 170 ,2,0.7697,uncommitted
,,,,,,0,,uncommitted
NA,Phillip Hopkins,Robert E. Lee (Montgomery	 AL),WDE,6-2, 215 ,2,0.7697,Jacksonville State
NA,Devonte' Mathews,Central (Phenix City	 AL),CB,6-0, 171 ,2,0.7697,uncommitted
NA,Orlando Ornelas,Chaparral (Temecula	 CA),WR,5-11.5, 162 ,2,0.7697,UC Davis
NA,Thor Paglialong,Marian Central Catholic (Woodstock	 IL),OC,6-4, 260 ,2,0.7697,Air Force
NA,Elijah Mayes,Hephzibah (Hephzibah	 GA),WDE,6-2, 205 ,2,0.7697,uncommitted
NA,David O'Keeffe,Brother Rice (Oak Lawn	 IL),SDE,6-3, 225 ,2,0.7697,uncommitted
NA,Braeden Potter,Peninsula (Gig Harbor	 WA),RB,5-11, 205 ,2,0.7697,Washington State
NA,Isaiah Ward,Inderkum (Sacramento	 CA),OLB,6-1, 205 ,2,0.7697,uncommitted
NA,Branden Owens,Bishop O'Dowd (Oakland	 CA),OLB,6-0, 210 ,2,0.7697,Air Force
NA,Judaea Moon,Valley Christian (San Jose	 CA),FB,5-11, 243 ,2,0.7697,uncommitted
NA,Jelani Warren,Bishop O'Dowd (Oakland	 CA),CB,6-1, 190 ,2,0.7697,uncommitted
NA,Elias Rios,Cypress (Cypress	 CA),WR,6-4, 190 ,2,0.7697,uncommitted
NA,Railan Peace,Sunny Hills (Fullerton	 CA),WR,6-1.5, 180 ,2,0.7697,uncommitted
NA,Parker Clayton,Folsom (Folsom	 CA),ATH,6-1, 185 ,2,0.7697,uncommitted
NA,Will Johnson,Lakeside School (Seattle	 WA),TE,6-6, 210 ,2,0.7697,uncommitted
NA,Kyon Barrs,Murrieta Mesa (Murrieta	 CA),DT,6-3, 285 ,2,0.7697,uncommitted
NA,Maxwell Anderson,Moreau Catholic (Hayward	 CA),CB,5-11, 150 ,2,0.7697,uncommitted
NA,Dawson Hurst,Del Oro (Loomis	 CA),CB,6-0, 195 ,2,0.7697,uncommitted
NA,Charles Bein,San Clemente (San Clemente	 CA),P,6-2, 150 ,2,0.7697,Air Force
NA,Patrick Ross,Hope College Prep (Chicago	 IL),SDE,6-5, 245 ,2,0.7697,Eastern Michigan
NA,Paul Fay,Hononegah (Rockton	 IL),OG,6-3, 300 ,2,0.7697,uncommitted
NA,D.J. Cotton,Brooks College Prep (Chicago	 IL),PRO,6-5, 180 ,2,0.7697,uncommitted
NA,Ivan Gleyzer,Adlai Stevenson (Lincolnshire	 IL),OG,6-4, 260 ,2,0.7697,uncommitted
NA,Khalil Saunders,Immaculate Conception (Elmhurst	 IL),S,5-11, 180 ,2,0.7697,uncommitted
NA,Jake Gonzalez,Loyola Academy (Wilmette	 IL),OLB,6-2, 200 ,2,0.7697,Pennsylvania
NA,Jake Stern,Ft. Zumwalt West (O'Fallon	 MO),WDE,6-4, 225 ,2,0.7697,Air Force
NA,Jon Denny,Liberty (Spangle	 WA),OT,6-7, 300 ,2,0.7697,Washington State
NA,Koale Schroeder,Paloma Valley (Menifee	 CA),WR,5-11, 161 ,2,0.7697,uncommitted
NA,Vito Orlando,Lutheran South (Saint Louis	 MO),PRO,6-2, 185 ,2,0.7697,uncommitted
NA,Nevin Hughes,Riverview Community (Wyandotte	 MI),OLB,6-1, 210 ,2,0.7697,uncommitted
NA,Jacob Dobbs,De La Salle Collegiate (Warren	 MI),OLB,6-0, 205 ,2,0.7697,Holy Cross
NA,Travis Miracle,Yale Senior (Yale	 MI),SDE,6-4, 260 ,2,0.7697,uncommitted
NA,Jackson Kollath,Hamilton (Sussex	 WI),ATH,6-2, 235 ,2,0.7697,Wisconsin
NA,William Myles,Scotlandville Magnet (Baton Rouge	 LA),DT,6-0, 315 ,2,0.7697,uncommitted
NA,Devion Hookfin,Kentwood (Kentwood	 LA),CB,5-8, 165 ,2,0.7697,uncommitted
NA,Johnny Guzman,Del Oro (Loomis	 CA),WR,6-1, 176 ,2,0.7697,uncommitted
NA,Marvin James,Pebblebrook (Mableton	 GA),OT,6-3, 295 ,2,0.7697,uncommitted
NA,Tye Herbstreit,Montgomery Bell Academy (Nashville	 TN),WR,6-0, 170 ,2,0.7697,uncommitted
NA,Jihad Abdul-Haqq,Rainier Beach (Seattle	 WA),DUAL,6-1, 175 ,2,0.7697,uncommitted
NA,Donald Berniard,University Lab (Baton Rouge	 LA),DT,6-0, 280 ,2,0.7697,Navy
NA,Bryce Peterson,Thomas Downey (Modesto	 CA),WR,5-10, 171 ,2,0.7697,uncommitted
NA,Corey Wilson,Warren Central (Vicksburg	 MS),RB,6-0, 175 ,2,0.7697,Southern Miss
NA,Will Lyman,Westlake (Westlake Village	 CA),S,6-1, 185 ,2,0.7697,uncommitted
NA,Martin Laham,Xaverian Brothers (Dedham	 MA),ATH,6-2, 195 ,2,0.7697,uncommitted
NA,Naquandre Grace,St. Lucie West Centennial (Port Saint Lucie	 FL),CB,6-0, 165 ,2,0.7697,Navy
NA,Will Jontz,Brighton (Brighton	 MI),DUAL,6-3, 195 ,2,0.7697,uncommitted
NA,Chris Sonnenberg,Patriot (Nokesville	 VA),PRO,6-2, 220 ,2,0.7697,uncommitted
NA,Tupu Alualu,Moanalua (Honolulu	 HI),DT,6-2, 310 ,2,0.7697,uncommitted
NA,Joseph Kimmey,Kapolei (Kapolei	 HI),OG,6-5, 315 ,2,0.7697,uncommitted
NA,Dane Leituala,Taylorsville (Salt Lake City	 UT),ILB,5-10, 226 ,2,0.7697,uncommitted
,,,,,,0,,uncommitted
NA,Jaden Severy,Terry Fox (Port Coquitlam	 BC),ATH,6-2, 175 ,2,0.7697,uncommitted
NA,Bryson Breeze,Lake Oswego Senior (Lake Oswego	 OR),S,5-11, 195 ,2,0.7697,uncommitted
NA,Shane Semeit,Capital Christian (Sacramento	 CA),OT,6-7, 280 ,2,0.7697,uncommitted
NA,Roger Millimono,Rainier Beach (Seattle	 WA),OG,6-2, 259 ,2,0.7697,uncommitted
NA,Briasen Harward,Bingham (South Jordan	 UT),TE,6-2, 227 ,2,0.7697,uncommitted
NA,Thomas Vi,Liberty (Brentwood	 CA),TE,6-2.5, 225 ,2,0.7697,uncommitted
NA,Josh McKey,Liberty (Brentwood	 CA),OG,6-3, 315 ,2,0.7697,uncommitted
NA,Keyon Martin,Deerfield Beach (Deerfield Beach	 FL),CB,5-11, 160 ,2,0.7697,uncommitted
NA,Charlie Rogers,Del Oro (Loomis	 CA),ILB,6-2, 220 ,2,0.7697,uncommitted
NA,Israel Presley,Rainier Beach (Seattle	 WA),OT,6-5, 265 ,2,0.7697,uncommitted
NA,D'Von Lang,Valley Christian (San Jose	 CA),CB,5-11.5, 150 ,2,0.7697,uncommitted
NA,Jimmie Edwards,Galileo (San Francisco	 CA),RB,5-8, 185 ,2,0.7697,uncommitted
NA,Kevin Eldredge,Mountain View (Meridian	 ID),OT,6-5, 300 ,2,0.7697,uncommitted
NA,Joey Echigoshima,Bellevue (Bellevue	 WA),CB,5-11, 175 ,2,0.7697,uncommitted
NA,John Eldridge,Lee's Summit North (Lees Summit	 MO),RB,5-8, 174 ,2,0.7697,uncommitted
NA,Xavier Gonsalves,Mashpee (Mashpee	 MA),SDE,6-2, 238 ,2,0.7697,Massachusetts
NA,Solomon Rogers,Rolesville (Rolesville	 NC),CB,6-0, 180 ,2,0.7697,Charlotte
NA,James Dineen,St. Francis (Mountain View	 CA),TE,6-4, 240 ,2,0.7697,uncommitted
NA,Tre Long,Lake Stevens Sr (Lake Stevens	 WA),DUAL,6-1, 195 ,2,0.7697,uncommitted
NA,Davon Bomar,Bel Air (Bel Air	 MD),WDE,6-3, 245 ,2,0.7697,Coastal Carolina
NA,Taylor Milton,Zachary (Zachary	 LA),OLB,6-2, 210 ,2,0.7697,New Mexico State
NA,Dylan Zagula,Belleville (Belleville	 MI),OLB,6-1, 217 ,2,0.7697,uncommitted
NA,Ian Kennelly,Eisenhower (Utica	 MI),S,6-2, 180 ,2,0.7697,Grand Valley State
NA,Tyler Connolly,Marysville (Marysville	 OH),OT,6-5, 275 ,2,0.7697,Toledo
NA,Tavius Sykora-Matthess,George Washington (Cedar Rapids	 IA),SDE,6-5, 240 ,2,0.7697,uncommitted
NA,Tyler Dickson,El Cerrito (El Cerrito	 CA),PRO,6-1.5, 199 ,2,0.7697,uncommitted
NA,Erik Bainter,Bothell (Bothell	 WA),PRO,6-3, 185 ,2,0.7697,uncommitted
NA,Lucas Allen,Campolindo (Moraga	 CA),WR,6-2, 205 ,2,0.7697,California
NA,Quinn Roff,San Marcos (San Marcos	 CA),OLB,6-2, 210 ,2,0.7697,uncommitted
NA,Marcus Nesby,Santiago (Corona	 CA),CB,5-11, 160 ,2,0.7697,uncommitted
NA,Dante Giusti,St. Francis (Mountain View	 CA),DT,6-2, 255 ,2,0.7697,uncommitted
NA,Joseph Hanson,Mars Hill Bible School (Florence	 AL),ATH,6-1, 205 ,2,0.7697,uncommitted
NA,Jalen Bustamante,Thompson (Alabaster	 AL),S,6-1, 196 ,2,0.7697,uncommitted
NA,Zion Carter,Berkeley Prep (Tampa	 FL),TE,6-6, 235 ,2,0.7697,Dartmouth
NA,Will McDonald,Porter Ridge (Indian Trail	 NC),OG,6-2, 306 ,2,0.7697,Coastal Carolina
NA,Zach Hopkins,James Clemens (Madison	 AL),ILB,6-0, 220 ,2,0.7697,Mercer
NA,Jermaine Brown,St. Luke's Episcopal (Mobile	 AL),WR,5-9, 170 ,2,0.7697,UAB
NA,Lance Wise,Hillgrove (Powder Springs	 GA),S,5-8, 183 ,2,0.7697,Mercer
NA,Luc Andrada,East (Pueblo	 CO),DUAL,5-9.5, 161 ,2,0.7697,Brigham Young
NA,Jake Hill,Abbeville (Abbeville	 SC),OG,6-2, 265 ,2,0.7697,Coastal Carolina
NA,Ayden Noriega,Tascosa (Amarillo	 TX),RB,5-9, 170 ,2,0.7697,Rice
NA,Jerry Johnson,Treasure Coast (Port Saint Lucie	 FL),OG,6-1, 280 ,2,0.7697,Rice
NA,Bronson Olevao,Highland (Salt Lake City	 UT),S,6-1, 185 ,2,0.7697,Utah State
NA,Zac Tuinei,Noblesville (Noblesville	 IN),S,6-1, 185 ,2,0.7697,uncommitted
NA,Nino Mastromatteo,Everest Collegiate (Clarkston	 MI),WR,6-1, 175 ,2,0.7697,Coastal Carolina
NA,Artest Banks,Aquinas (Augusta	 GA),ILB,6-1, 225 ,2,0.7691,uncommitted
NA,John Harris,Roncalli (Indianapolis	 IN),DT,6-3, 265 ,2,0.7691,Ball State
NA,Davis Tinger,Friendswood (Friendswood	 TX),SDE,6-3, 235 ,2,0.7691,uncommitted
NA,Trevion Robertson,Manvel (Manvel	 TX),CB,5-7, 160 ,2,0.7691,uncommitted
NA,Omaric Battles,Klein (Spring	 TX),CB,5-10, 177 ,2,0.7691,uncommitted
,,,,,,0,,uncommitted
NA,Clifford Funderburk,North Forney (Forney	 TX),SDE,6-3, 223 ,2,0.7691,uncommitted
NA,Tyler Knoop,Fort Worth Christian (North Richland Hills	 TX),DUAL,6-0, 160 ,2,0.7691,Georgetown
NA,Robert Springer Jr.,Little Rock Christian Academy (Little Rock	 AR),CB,5-9, 150 ,2,0.7691,uncommitted
NA,Davis Wofford,Joe T. Robinson (Little Rock	 AR),WDE,6-0, 230 ,2,0.7680,Army
NA,Tyler Hardeman,Folsom (Folsom	 CA),DT,6-2, 260 ,2,0.7680,Sacramento State
NA,Payson Campisano,Torrey Pines (Encinitas	 CA),OG,6-4, 230 ,2,0.7680,Cal Poly
NA,Tyler Hunter,Whitehaven (Memphis	 TN),ILB,5-10, 222 ,2,0.7680,uncommitted
NA,Devon Starling,Cane Ridge (Antioch	 TN),RB,6-0, 190 ,2,0.7680,uncommitted
NA,Zack Hillstock,Dorman (Roebuck	 SC),CB,5-10, 190 ,2,0.7680,uncommitted
NA,Joshua George,Benton (Benton	 AR),OG,6-3, 309 ,2,0.7680,Central Arkansas
NA,Thomas Hayden,Memphis University School (Memphis	 TN),ATH,6-2, 205 ,2,0.7680,uncommitted
NA,Joy Kabelu,Cane Ridge (Antioch	 TN),DT,6-4, 330 ,2,0.7680,uncommitted
NA,Garrett Braden,New Canaan (New Canaan	 CT),OLB,6-2, 215 ,2,0.7680,Rice
NA,Michael Kelly,Graham (Graham	 NC),WDE,6-3, 225 ,2,0.7680,Charlotte
NA,Allen Smith,Culver City (Culver City	 CA),CB,5-7.5, 151 ,2,0.7680,Wyoming
NA,Carson Keltner,Centennial (Peoria	 AZ),OC,6-1, 279 ,2,0.7680,Air Force
NA,Traveon Latimore,Madison County (Danielsville	 GA),WR,6-1, 203 ,2,0.7680,Kennesaw State
NA,Christian Hunter,Kaiser (Fontana	 CA),RB,6-0, 190 ,2,0.7680,Colorado State
NA,Dagen Rash,Belfry (Belfry	 KY),OG,6-2, 280 ,2,0.7680,uncommitted
NA,Ethan Miner,Kingswood-Oxford School (West Hartford	 CT),OG,6-2.5, 283 ,2,0.7680,Arkansas State
NA,Konota Gaskins,McKeesport (Mckeesport	 PA),CB,6-1, 190 ,2,0.7680,Bowling Green
NA,Jeremy Jones,Lewisville (Lewisville	 TX),OT,6-5, 301 ,2,0.7680,Tulsa
NA,Tony Williams,Saddleback (Mission Viejo	 CA),OLB,6-0, 195 ,2,0.7680,Old Dominion
NA,Justin Mayers,Reedy (Frisco	 TX),DT,6-4, 280 ,2,0.7680,UTEP
NA,Carson Collins,Lovejoy (Lucas	 TX),PRO,6-1, 190 ,2,0.7680,Tulsa
NA,Chandler Crite,Lebanon (Lebanon	 TN),ATH,6-0, 175 ,2,0.7680,Ball State
NA,Caleb Herring,St. Edward (Lakewood	 OH),OT,6-7, 300 ,2,0.7680,Akron
NA,Randy Cochran,Norcross (Norcross	 GA),CB,6-0, 175 ,2,0.7680,Akron
NA,Noah Cameron,Kokomo (Kokomo	 IN),WR,6-1, 185 ,2,0.7680,Eastern Michigan
NA,Colt Jennings,Padua Franciscan (Cleveland	 OH),WDE,6-3, 225 ,2,0.7680,Kent State
NA,AJ Gillie,Natchitoches Central (Natchitoches	 LA),OG,6-3, 280 ,2,0.7680,Louisiana
NA,Amaru Herring,East Duplin (Beulaville	 NC),DT,6-1, 260 ,2,0.7680,Georgia Southern
NA,Julian Richardson,Westover (Albany	 GA),ILB,6-2, 210 ,2,0.7680,Akron
NA,Andrew Leak,Heard County (Franklin	 GA),ILB,5-10, 210 ,2,0.7680,Middle Tennessee State
NA,Jacob Cowing,Maricopa (Maricopa	 AZ),WR,5-10, 175 ,2,0.7680,UTEP
NA,Nick Giacolone,Venice (Venice	 FL),ILB,6-3, 220 ,2,0.7680,New Mexico State
NA,J.J. Lippe,Whitefish Bay (Milwaukee	 WI),OG,6-4, 275 ,2,0.7680,Northern Illinois
NA,Brandon Crum,Auburn (Auburn	 AL),OT,6-4, 260 ,2,0.7680,South Alabama
NA,Joseph Doleman,Sherando (Stephens City	 VA),OLB,6-1, 217 ,2,0.7680,Marshall
NA,Christian Sims,Norcross (Norcross	 GA),TE,6-2, 207 ,2,0.7680,Bowling Green
NA,Kenny Frazier Jr.,Opelousas (Opelousas	 LA),ATH,5-10, 150 ,2,0.7680,Texas State
NA,Tim Williams,Searcy (Searcy	 AR),WR,6-3, 188 ,2,0.7667,uncommitted
NA,Jordan Blakely,Foothill (Henderson	 NV),CB,6-1.5, 183 ,2,0.7667,Air Force
NA,Patrick Owen,St. Xavier (Louisville	 KY),OLB,6-1, 235 ,2,0.7667,uncommitted
NA,Max Brosmer,Centennial (Roswell	 GA),PRO,6-2, 195 ,2,0.7667,uncommitted
NA,Caden McKinnis,Logan County (Russellville	 KY),DT,6-2, 250 ,2,0.7667,Austin Peay
NA,El-Amin Greer,Liberty-Eylau (Texarkana	 TX),WR,6-2, 180 ,2,0.7667,uncommitted
NA,Marc Rumpke,Lexington Catholic (Lexington	 KY),OG,6-2, 290 ,2,0.7667,uncommitted
NA,Xzavion Florence,Kimball (Dallas	 TX),CB,6-1, 170 ,2,0.7667,uncommitted
NA,Dorian Davis,Shelby (Shelby	 NC),CB,6-0, 180 ,2,0.7667,James Madison
,,,,,,0,,uncommitted
NA,Hasani Adams,West Memphis (West Memphis	 AR),DT,6-2, 300 ,2,0.7667,uncommitted
NA,Tevin Shipp,Smyrna (Smyrna	 TN),OLB,6-2, 215 ,2,0.7667,uncommitted
NA,Taye Gatewood,Southside (Fort Smith	 AR),ATH,6-0, 183 ,2,0.7667,uncommitted
NA,Landon Newman,Daviess County (Owensboro	 KY),RB,6-0, 190 ,2,0.7667,uncommitted
NA,Coleman Johnson,Fayetteville (Fayetteville	 AR),SDE,6-1, 235 ,2,0.7667,Idaho
NA,Jamel Brown,Desert Pines (Las Vegas	 NV),S,5-11, 192 ,2,0.7667,Charlotte
NA,Jesse Vasquez,Oaks Christian (Westlake Village	 CA),LS,6-1, 220 ,2,0.7667,Utah State
NA,Brandon Jones,Waggener Traditional (Louisville	 KY),RB,5-10, 195 ,2,0.7667,uncommitted
NA,Anthony Switzer,Marion (Marion	 AR),S,6-0, 190 ,2,0.7667,Arkansas State
NA,Wyatt Rohmer,Byron Nelson (Trophy Club	 TX),S,5-11, 180 ,2,0.7667,Navy
NA,Kendrick Curry,Bryan Station (Lexington	 KY),S,6-0, 160 ,2,0.7667,uncommitted
NA,Declan Kyler,Skyline (Mesa	 AZ),OG,6-3, 300 ,2,0.7667,uncommitted
NA,Zak Wallace,Benton (Benton	 AR),RB,6-0, 195 ,2,0.7667,Tennessee-Martin
NA,Tyrese Solomon,Southside (Fort Smith	 AR),WR,5-8, 158 ,2,0.7667,uncommitted
NA,Jordan White,Chaparral (Temecula	 CA),CB,5-11.5, 187 ,2,0.7667,Eastern Washington
NA,Zhane Harper,Cabot (Cabot	 AR),S,6-0, 168 ,2,0.7667,uncommitted
NA,Jaloveon Lagroon,T L Hanna (Anderson	 SC),OLB,6-2, 200 ,2,0.7667,uncommitted
NA,Michael Monios,Choate Rosemary Hall (Wallingford	 CT),WR,5-10, 180 ,2,0.7652,uncommitted
NA,Andrew Bench,Genoa Area (Genoa	 OH),WDE,6-5, 220 ,2,0.7641,Bowling Green
NA,Evan Davis,Rumson-Fair Haven (Rumson	 NJ),LS,5-10, 250 ,2,0.7641,Buffalo
NA,Jacquez Allen,Jefferson Davis (Montgomery	 AL),RB,5-9, 181 ,2,0.7641,Wofford
NA,Zachary Nwachukwu,Plano East (Plano	 TX),CB,5-9, 180 ,2,0.7641,Stephen F. Austin
NA,T'Mar White,Cedar Hill (Cedar Hill	 TX),ATH,6-0, 180 ,2,0.7641,uncommitted
NA,Justin Jefferson,Oakland (Murfreesboro	 TN),ATH,5-11, 180 ,2,0.7630,uncommitted
NA,Fred Orr,Rossview (Clarksville	 TN),RB,5-11, 195 ,2,0.7630,uncommitted
NA,Baylor Segree,LaVergne (LaVergne	 TN),CB,5-10, 160 ,2,0.7630,uncommitted
NA,Marlon Alexander,Smyrna (Smyrna	 TN),DT,6-1, 270 ,2,0.7630,Gardner-Webb
NA,Xavier Myers,Oakland (Murfreesboro	 TN),RB,5-10, 191 ,2,0.7630,Illinois State
NA,Josh Watch,Clarksville (Clarksville	 TN),ATH,5-11, 182 ,2,0.7630,uncommitted
NA,Jordan Wright,Collierville (Collierville	 TN),CB,5-10.5, 160 ,2,0.7630,uncommitted
NA,Dashaun McKinney,Fulton (Knoxville	 TN),WR,6-2, 185 ,2,0.7630,uncommitted
NA,Jaheem Hazel,Whale Branch (Seabrook	 SC),CB,5-11, 180 ,2,0.7630,uncommitted
NA,Zacary Henson,Alma (Alma	 AR),OG,6-3, 280 ,2,0.7630,uncommitted
NA,MarQuez Casey,Jacksonville (Jacksonville	 AR),WDE,6-2, 225 ,2,0.7630,Central Arkansas
NA,Larry Donnell,Horn (Mesquite	 TX),S,5-10.5, 179 ,2,0.7630,uncommitted
NA,Avery Williams,Brentwood (Brentwood	 TN),WR,5-11.5, 161 ,2,0.7630,Chattanooga
NA,Ryan Stapp,College Station (College Station	 TX),CB,5-10, 151 ,2,0.7630,uncommitted
NA,Jake Rogers,Highland (Medina	 OH),WR,5-8, 160 ,2,0.7630,Bowling Green
NA,Winston Jules,Salisbury School (Salisbury	 CT),CB,5-11, 160 ,2,0.7630,Connecticut
NA,Kirk Lockhart,Cedar Hill (Cedar Hill	 TX),S,5-10, 180 ,2,0.7630,Rice
NA,Jett Kinsch,Liberty (Globe	 AZ),RB,6-0, 190 ,2,0.7630,UTEP
NA,Demarr Hayes,La Vega (Waco	 TX),SDE,6-2, 225 ,2,0.7630,UTEP
NA,Stanley Wynn,Seminole (Sanford	 FL),CB,6-0, 185 ,2,0.7630,Tulsa
NA,Joe Misak,Mattawan (Mattawan	 MI),DT,-, - ,2,0.7630,Western Michigan
NA,Bryson Norris,Crestview (Crestview	 FL),OG,6-3, 355 ,2,0.7630,South Alabama
NA,Chris Butash,Carrollwood Day (Tampa	 FL),PRO,6-2, 185 ,2,0.7597,Holy Cross
NA,Ethan Eilertson,Enumclaw Sr (Enumclaw	 WA),WR,6-3, 180 ,2,0.7597,uncommitted
NA,Dawson Jolley,West Linn (West Linn	 OR),CB,5-11, 170 ,2,0.7597,uncommitted
NA,Tre Ratcliff,Madison (Portland	 OR),ATH,5-11, 165 ,2,0.7597,uncommitted
NA,William Horne,C.P.A. (Nashville	 TN),OLB,6-1, 205 ,2,0.7597,Georgetown
,,,,,,0,,uncommitted
NA,Mark Waid,Girard Sr (Girard	 OH),PRO,6-3, 215 ,2,0.7597,Fordham
NA,Cameron Shannon,Homestead (Fort Wayne	 IN),CB,5-9.5, 167 ,2,0.7597,uncommitted
NA,Chris Kongbo,Vancouver College Prep (North Vancouver	 BC),S,6-1, 205 ,2,0.7597,uncommitted
