ranking,name,highSchool,position,height,weight,stars,rating,college
275,Quincy Patterson,Solorio Academy (Chicago, IL),DUAL,6-4,232,4,0.9048,Virginia Tech
276,Christian Tutt,Thomson (Thomson, GA),CB,5-10.5,193,4,0.9045,Auburn
277,Micah Baskerville,Evangel Christian Academy (Shreveport, LA),ILB,6-2,215,4,0.9044,LSU
278,Trenell Troutman,St. Thomas Aquinas (Fort Lauderdale, FL),S,5-10,188,4,0.9041,Louisville
279,Jamal Elliott,Hillside (Durham, NC),RB,5-10,180,4,0.9038,Oregon
280,Taiyon Palmer,Archer (Lawrenceville, GA),CB,6-0,178,4,0.9035,N.C. State
281,Michael Harris,Tucker (Tucker, GA),ILB,6-2,213,4,0.9033,Auburn
282,Thomas Booker,Gilman (Baltimore, MD),SDE,6-5,290,4,0.9032,Stanford
283,George Takacs,Gulf Coast (Naples, FL),TE,6-7,242,4,0.9031,Notre Dame
284,Davin Cotton,Evangel Christian Academy (Shreveport, LA),DT,6-1,262,4,0.9027,LSU
285,Avery Jones,Havelock (Havelock, NC),OG,6-4,275,4,0.9026,North Carolina
